league,date,patch,participantid,playername,teamid,championid,result,kills,deaths,assists,dpm
EU LCS,14-01-14 17:52,3.15,1,sOAZ,78,48,1,3,0,13,391.9647
EU LCS,14-01-14 17:52,3.15,2,Cyanide,78,254,1,0,4,14,220.3846
EU LCS,14-01-14 17:52,3.15,3,xPeke,78,61,1,10,1,7,863.7942
EU LCS,14-01-14 17:52,3.15,4,Rekkles,78,222,1,8,0,9,539.3763
EU LCS,14-01-14 17:52,3.15,5,YellOwStaR,78,1,1,0,0,15,287.4324
EU LCS,14-01-14 17:52,3.15,6,Darien,79,36,0,1,5,2,701.8815
EU LCS,14-01-14 17:52,3.15,7,Diamondprox,79,102,0,2,3,2,288.8358
EU LCS,14-01-14 17:52,3.15,8,Alex Ich,79,7,0,2,2,2,342.7547
EU LCS,14-01-14 17:52,3.15,9,Genja,79,236,0,0,5,0,257.8067
EU LCS,14-01-14 17:52,3.15,10,Edward,79,412,0,0,6,2,104.3139
EU LCS,14-01-14 19:16,3.15,1,YoungBuck,80,102,1,4,2,6,614.8181
EU LCS,14-01-14 19:16,3.15,2,Amazing,80,60,1,4,0,9,471.73
EU LCS,14-01-14 19:16,3.15,3,cowTard,80,10,1,4,1,5,478.4721
EU LCS,14-01-14 19:16,3.15,4,FORG1VEN,80,236,1,1,3,9,553.2175
EU LCS,14-01-14 19:16,3.15,5,Unlimited,80,117,1,1,3,10,233.4276
EU LCS,14-01-14 19:16,3.15,6,Wickd,81,58,0,1,2,2,295.4648
EU LCS,14-01-14 19:16,3.15,7,Shook,81,254,0,1,2,6,153.177
EU LCS,14-01-14 19:16,3.15,8,Froggen,81,79,0,2,1,2,748.6176
EU LCS,14-01-14 19:16,3.15,9,Tabzz,81,51,0,4,5,2,595.9984
EU LCS,14-01-14 19:16,3.15,10,Nyph,81,412,0,1,4,4,214.3654
EU LCS,14-01-14 21:28,3.15,1,Wickd,81,102,0,1,3,4,399.2316
EU LCS,14-01-14 21:28,3.15,2,Shook,81,64,0,0,1,5,125.4089
EU LCS,14-01-14 21:28,3.15,3,Froggen,81,79,0,2,3,4,787.5086
EU LCS,14-01-14 21:28,3.15,4,Tabzz,81,67,0,3,3,1,415.4355
EU LCS,14-01-14 21:28,3.15,5,Nyph,81,412,0,2,5,3,124.3591
EU LCS,14-01-14 21:28,3.15,6,sOAZ,78,58,1,3,1,7,441.9779
EU LCS,14-01-14 21:28,3.15,7,Cyanide,78,254,1,1,4,4,133.3054
EU LCS,14-01-14 21:28,3.15,8,xPeke,78,115,1,3,3,6,958.9273
EU LCS,14-01-14 21:28,3.15,9,Rekkles,78,222,1,7,0,5,501.0422
EU LCS,14-01-14 21:28,3.15,10,YellOwStaR,78,89,1,1,0,8,99.962
EU LCS,14-01-14 22:37,3.15,1,Darien,79,19,1,4,1,10,351.7365
EU LCS,14-01-14 22:37,3.15,2,Diamondprox,79,64,1,3,1,13,212.4333
EU LCS,14-01-14 22:37,3.15,3,Alex Ich,79,121,1,11,3,8,778.8568
EU LCS,14-01-14 22:37,3.15,4,Genja,79,222,1,4,0,12,597.7463
EU LCS,14-01-14 22:37,3.15,5,Edward,79,85,1,3,1,9,420.098
EU LCS,14-01-14 22:37,3.15,6,YoungBuck,80,102,0,1,4,2,549.7986
EU LCS,14-01-14 22:37,3.15,7,Amazing,80,2,0,0,3,4,299.706
EU LCS,14-01-14 22:37,3.15,8,cowTard,80,143,0,2,9,2,578.1165
EU LCS,14-01-14 22:37,3.15,9,FORG1VEN,80,236,0,2,5,0,535.4927
EU LCS,14-01-14 22:37,3.15,10,Unlimited,80,117,0,1,4,2,288.503
EU LCS,14-01-14 23:48,3.15,1,fredy122,82,102,0,2,6,6,419.4873
EU LCS,14-01-14 23:48,3.15,2,Svenskeren,82,64,0,0,8,3,187.6306
EU LCS,14-01-14 23:48,3.15,3,Jesiz,82,115,0,4,5,4,1171.9224
EU LCS,14-01-14 23:48,3.15,4,CandyPanda,82,236,0,4,4,3,614.1176
EU LCS,14-01-14 23:48,3.15,5,nRated,82,89,0,0,4,7,91.1732
EU LCS,14-01-14 23:48,3.15,6,Kev1n,83,58,1,4,1,12,407.5978
EU LCS,14-01-14 23:48,3.15,7,Araneae,83,254,1,2,3,12,205.9481
EU LCS,14-01-14 23:48,3.15,8,Kerp,83,7,1,9,3,10,925.9284
EU LCS,14-01-14 23:48,3.15,9,Creaton,83,81,1,10,0,7,808.886
EU LCS,14-01-14 23:48,3.15,10,Jree,83,1,1,2,3,13,221.4854
EU LCS,14-01-15 17:53,3.15,1,Mimer,84,36,1,1,2,12,364.9489
EU LCS,14-01-15 17:53,3.15,2,Impaler,84,254,1,2,4,11,153.37
EU LCS,14-01-15 17:53,3.15,3,Moopz,84,79,1,6,4,8,545.3024
EU LCS,14-01-15 17:53,3.15,4,MrRallez,84,236,1,10,0,7,801.2333
EU LCS,14-01-15 17:53,3.15,5,Migxa,84,412,1,1,4,12,176.7007
EU LCS,14-01-15 17:53,3.15,6,Wickd,81,54,0,2,5,4,255.4124
EU LCS,14-01-15 17:53,3.15,7,Shook,81,121,0,5,6,4,343.6449
EU LCS,14-01-15 17:53,3.15,8,Froggen,81,7,0,4,3,6,645.8837
EU LCS,14-01-15 17:53,3.15,9,Tabzz,81,81,0,2,1,6,562.6237
EU LCS,14-01-15 17:53,3.15,10,Nyph,81,1,0,1,5,7,199.1595
EU LCS,14-01-15 19:15,3.15,1,sOAZ,78,98,1,0,1,14,536.437
EU LCS,14-01-15 19:15,3.15,2,Cyanide,78,60,1,6,0,7,419.0588
EU LCS,14-01-15 19:15,3.15,3,xPeke,78,79,1,6,1,7,693.8487
EU LCS,14-01-15 19:15,3.15,4,Rekkles,78,222,1,11,0,6,860.7059
EU LCS,14-01-15 19:15,3.15,5,YellOwStaR,78,412,1,0,0,16,180.5378
EU LCS,14-01-15 19:15,3.15,6,fredy122,82,58,0,0,4,0,334.1513
EU LCS,14-01-15 19:15,3.15,7,Svenskeren,82,102,0,0,5,1,322.9244
EU LCS,14-01-15 19:15,3.15,8,Jesiz,82,103,0,2,5,0,411.8992
EU LCS,14-01-15 19:15,3.15,9,CandyPanda,82,15,0,0,3,0,345.5798
EU LCS,14-01-15 19:15,3.15,10,nRated,82,20,0,0,6,0,107.9664
EU LCS,14-01-15 21:13,3.15,1,YoungBuck,80,58,0,3,4,6,495.054
EU LCS,14-01-15 21:13,3.15,2,Amazing,80,254,0,2,3,6,148.6855
EU LCS,14-01-15 21:13,3.15,3,cowTard,80,115,0,1,2,4,1098.6375
EU LCS,14-01-15 21:13,3.15,4,FORG1VEN,80,236,0,6,3,5,909.4718
EU LCS,14-01-15 21:13,3.15,5,Unlimited,80,1,0,0,5,8,257.0168
EU LCS,14-01-15 21:13,3.15,6,fredy122,82,102,1,4,0,8,717.6591
EU LCS,14-01-15 21:13,3.15,7,Svenskeren,82,64,1,2,5,11,198.9256
EU LCS,14-01-15 21:13,3.15,8,Jesiz,82,76,1,2,2,10,868.0732
EU LCS,14-01-15 21:13,3.15,9,CandyPanda,82,81,1,7,1,7,720.7383
EU LCS,14-01-15 21:13,3.15,10,nRated,82,412,1,2,4,11,164.2437
EU LCS,14-01-15 22:36,3.15,1,Xaxus,85,58,1,2,0,6,316.2925
EU LCS,14-01-15 22:36,3.15,2,Jankos,85,28,1,5,0,6,479.2517
EU LCS,14-01-15 22:36,3.15,3,Overpow,85,92,1,4,2,0,280.7823
EU LCS,14-01-15 22:36,3.15,4,Celaver,85,51,1,1,0,4,473.2993
EU LCS,14-01-15 22:36,3.15,5,Vander,85,412,1,0,0,6,169.8639
EU LCS,14-01-15 22:36,3.15,6,Kev1n,83,36,0,1,2,0,391.8367
EU LCS,14-01-15 22:36,3.15,7,Araneae,83,102,0,1,2,0,237.517
EU LCS,14-01-15 22:36,3.15,8,Kerp,83,115,0,0,3,1,549.5238
EU LCS,14-01-15 22:36,3.15,9,Creaton,83,222,0,0,3,0,278.0952
EU LCS,14-01-15 22:36,3.15,10,Jree,83,117,0,0,2,0,153.0272
EU LCS,14-01-16 18:33,3.15,1,fredy122,82,102,1,0,0,9,508.9426
EU LCS,14-01-16 18:33,3.15,2,Svenskeren,82,60,1,3,4,7,445.3033
EU LCS,14-01-16 18:33,3.15,3,Jesiz,82,38,1,7,0,11,690.959
EU LCS,14-01-16 18:33,3.15,4,CandyPanda,82,222,1,9,1,8,651.0984
EU LCS,14-01-16 18:33,3.15,5,nRated,82,3,1,1,3,13,235.2541
EU LCS,14-01-16 18:33,3.15,6,Mimer,84,36,0,0,2,3,517.7705
EU LCS,14-01-16 18:33,3.15,7,Impaler,84,5,0,0,5,4,232.3279
EU LCS,14-01-16 18:33,3.15,8,Moopz,84,79,0,3,2,4,451.8197
EU LCS,14-01-16 18:33,3.15,9,MrRallez,84,236,0,4,4,1,459.2213
EU LCS,14-01-16 18:33,3.15,10,Migxa,84,267,0,1,7,5,161.8279
EU LCS,14-01-16 22:01,3.15,1,Darien,79,102,1,4,2,10,840.4978
EU LCS,14-01-16 22:01,3.15,2,Diamondprox,79,64,1,3,2,12,236.645
EU LCS,14-01-16 22:01,3.15,3,Alex Ich,79,10,1,9,3,9,672.2294
EU LCS,14-01-16 22:01,3.15,4,Genja,79,222,1,7,2,7,728.0736
EU LCS,14-01-16 22:01,3.15,5,Edward,79,1,1,1,6,15,201.7532
EU LCS,14-01-16 22:01,3.15,6,Mimer,84,36,0,1,4,5,668.2684
EU LCS,14-01-16 22:01,3.15,7,Impaler,84,5,0,1,8,10,264.9567
EU LCS,14-01-16 22:01,3.15,8,Moopz,84,79,0,3,3,5,818.7446
EU LCS,14-01-16 22:01,3.15,9,MrRallez,84,51,0,9,3,2,617.8355
EU LCS,14-01-16 22:01,3.15,10,Migxa,84,412,0,1,6,8,172.7056
EU LCS,14-01-16 22:58,3.15,1,Wickd,81,102,0,2,3,5,255.0916
EU LCS,14-01-16 22:58,3.15,2,Shook,81,254,0,3,3,6,143.5645
EU LCS,14-01-16 22:58,3.15,3,Froggen,81,115,0,4,4,4,983.0471
EU LCS,14-01-16 22:58,3.15,4,Tabzz,81,222,0,1,3,5,413.64
EU LCS,14-01-16 22:58,3.15,5,Nyph,81,89,0,0,4,5,96.1337
EU LCS,14-01-16 22:58,3.15,6,Xaxus,85,36,1,3,2,7,298.4908
EU LCS,14-01-16 22:58,3.15,7,Jankos,85,64,1,2,1,7,145.4186
