league,date,patch,participantid,playername,teamid,championid,result,kills,deaths,assists,dpm
LPL,25-01-12 09:24,15.01,1,Breathe,76,897,1,4,0,3,277.8144
LPL,25-01-12 09:24,15.01,2,Tian,76,234,1,4,0,5,282.9863
LPL,25-01-12 09:24,15.01,3,Xiaohu,76,893,1,5,1,8,1061.8276
LPL,25-01-12 09:24,15.01,4,Light,76,22,1,3,2,6,440.9703
LPL,25-01-12 09:24,15.01,5,Hang,76,201,1,1,2,11,177.8238
LPL,25-01-12 09:24,15.01,6,Hery,51,150,0,1,2,0,555.0071
LPL,25-01-12 09:24,15.01,7,Heng,51,56,0,2,4,1,309.4677
LPL,25-01-12 09:24,15.01,8,Linfeng,51,61,0,0,3,3,489.8917
LPL,25-01-12 09:24,15.01,9,Starry,51,110,0,2,4,2,452.0772
LPL,25-01-12 09:24,15.01,10,Moham,51,518,0,0,4,3,312.2091
LPL,25-01-12 10:26,15.01,1,Hery,51,68,0,6,1,4,893.8832
LPL,25-01-12 10:26,15.01,2,Heng,51,57,0,1,6,7,489.0369
LPL,25-01-12 10:26,15.01,3,Linfeng,51,799,0,4,4,2,555.9221
LPL,25-01-12 10:26,15.01,4,Starry,51,202,0,0,3,5,223.1865
LPL,25-01-12 10:26,15.01,5,Moham,51,526,0,0,4,9,128.7295
LPL,25-01-12 10:26,15.01,6,Breathe,76,126,1,5,3,7,492.1414
LPL,25-01-12 10:26,15.01,7,Tian,76,62,1,6,2,6,433.8934
LPL,25-01-12 10:26,15.01,8,Xiaohu,76,112,1,1,3,7,846.6393
LPL,25-01-12 10:26,15.01,9,Light,76,21,1,4,1,9,873.4734
LPL,25-01-12 10:26,15.01,10,Hang,76,497,1,2,2,11,121.0451
LPL,25-01-12 11:21,15.01,1,Hery,51,266,0,1,4,5,405.6703
LPL,25-01-12 11:21,15.01,2,Heng,51,143,0,6,6,9,803.9821
LPL,25-01-12 11:21,15.01,3,Linfeng,51,777,0,6,6,4,469.3942
LPL,25-01-12 11:21,15.01,4,Starry,51,115,0,5,3,9,888.1132
LPL,25-01-12 11:21,15.01,5,Moham,51,89,0,0,3,13,257.2195
LPL,25-01-12 11:21,15.01,6,Breathe,76,24,1,8,1,4,444.9652
LPL,25-01-12 11:21,15.01,7,Tian,76,113,1,0,4,17,439.0665
LPL,25-01-12 11:21,15.01,8,Xiaohu,76,517,1,4,8,7,471.1221
LPL,25-01-12 11:21,15.01,9,Light,76,222,1,8,1,6,970.5164
LPL,25-01-12 11:21,15.01,10,Hang,76,78,1,2,4,10,230.4965
LPL,25-01-13 09:35,15.01,1,Zika,70,897,1,4,1,14,550.7817
LPL,25-01-13 09:35,15.01,2,Weiwei,70,80,1,3,3,6,432.04
LPL,25-01-13 09:35,15.01,3,haichao,70,8,1,6,1,10,602.0019
LPL,25-01-13 09:35,15.01,4,Photic,70,429,1,7,4,4,526.5014
LPL,25-01-13 09:35,15.01,5,Zhuo,70,518,1,0,5,8,285.5863
LPL,25-01-13 09:35,15.01,6,HOYA,72,68,0,0,5,6,486.0915
LPL,25-01-13 09:35,15.01,7,Beichuan,72,254,0,2,3,6,308.5224
LPL,25-01-13 09:35,15.01,8,SeTab,72,893,0,2,4,3,914.2707
LPL,25-01-13 09:35,15.01,9,1xn,72,81,0,10,3,3,1237.693
LPL,25-01-13 09:35,15.01,10,Feather,72,89,0,0,5,6,160.4385
LPL,25-01-13 10:36,15.01,1,HOYA,72,150,1,6,2,10,795.4895
LPL,25-01-13 10:36,15.01,2,Beichuan,72,62,1,1,2,15,339.5714
LPL,25-01-13 10:36,15.01,3,SeTab,72,84,1,4,0,9,511.7974
LPL,25-01-13 10:36,15.01,4,1xn,72,145,1,7,1,11,843.5363
LPL,25-01-13 10:36,15.01,5,Feather,72,497,1,1,2,16,130.7842
LPL,25-01-13 10:36,15.01,6,Zika,70,58,0,4,3,3,613.8529
LPL,25-01-13 10:36,15.01,7,Weiwei,70,64,0,3,5,4,322.9713
LPL,25-01-13 10:36,15.01,8,haichao,70,163,0,0,2,2,582.0848
LPL,25-01-13 10:36,15.01,9,Photic,70,42,0,0,4,3,554.1159
LPL,25-01-13 10:36,15.01,10,Zhuo,70,526,0,0,5,4,133.2976
LPL,25-01-13 11:33,15.01,1,Zika,70,24,0,1,4,1,429.7379
LPL,25-01-13 11:33,15.01,2,Weiwei,70,106,0,4,4,5,439.6096
LPL,25-01-13 11:33,15.01,3,haichao,70,777,0,2,2,6,438.0703
LPL,25-01-13 11:33,15.01,4,Photic,70,22,0,2,2,5,587.15
LPL,25-01-13 11:33,15.01,5,Zhuo,70,201,0,0,5,8,151.188
LPL,25-01-13 11:33,15.01,6,HOYA,72,79,1,2,4,10,563.7591
LPL,25-01-13 11:33,15.01,7,Beichuan,72,5,1,1,2,13,634.4004
LPL,25-01-13 11:33,15.01,8,SeTab,72,112,1,5,0,9,981.7178
LPL,25-01-13 11:33,15.01,9,1xn,72,110,1,7,2,5,633.3296
LPL,25-01-13 11:33,15.01,10,Feather,72,43,1,2,1,14,283.5694
LPL,25-01-13 12:27,15.01,1,Zika,70,799,0,3,3,3,498.2375
LPL,25-01-13 12:27,15.01,2,Weiwei,70,113,0,2,4,6,411.4076
LPL,25-01-13 12:27,15.01,3,haichao,70,517,0,3,2,5,493.929
LPL,25-01-13 12:27,15.01,4,Photic,70,29,0,6,3,6,1150.306
LPL,25-01-13 12:27,15.01,5,Zhuo,70,117,0,0,4,12,155.8874
LPL,25-01-13 12:27,15.01,6,HOYA,72,78,1,2,1,6,399.2901
LPL,25-01-13 12:27,15.01,7,Beichuan,72,234,1,4,3,10,486.6585
LPL,25-01-13 12:27,15.01,8,SeTab,72,268,1,0,6,10,723.4517
LPL,25-01-13 12:27,15.01,9,1xn,72,222,1,8,2,7,1029.2044
LPL,25-01-13 12:27,15.01,10,Feather,72,53,1,1,2,14,220.8568
LPL,25-01-14 09:27,15.01,1,Xiaoxu,49,24,0,2,4,1,449.2539
LPL,25-01-14 09:27,15.01,2,milkyway,49,234,0,0,3,3,226.0415
