league,date,patch,participantid,playername,teamid,championid,result,kills,deaths,assists,dpm
LCK,2026-01-14 08:13:43,16.01,1,DuDu,19,68,1,4,0,5,611.0911
LCK,2026-01-14 08:13:43,16.01,2,Pyosik,19,62,1,6,1,9,366.6737
LCK,2026-01-14 08:13:43,16.01,3,Clozer,19,103,1,7,0,8,602.7648
LCK,2026-01-14 08:13:43,16.01,4,deokdam,19,42,1,1,2,11,573.6547
LCK,2026-01-14 08:13:43,16.01,5,Life,19,80,1,1,5,9,394.1631
LCK,2026-01-14 08:13:43,16.01,6,PerfecT,10,897,0,0,2,1,205.9322
LCK,2026-01-14 08:13:43,16.01,7,Cuzz,10,54,0,4,6,3,341.7267
LCK,2026-01-14 08:13:43,16.01,8,Bdd,10,163,0,1,2,6,511.7479
LCK,2026-01-14 08:13:43,16.01,9,Aiming,10,804,0,1,4,4,565.0742
LCK,2026-01-14 08:13:43,16.01,10,Pollu,10,12,0,2,5,6,152.8602
LCK,2026-01-14 09:06:16,16.01,1,DuDu,19,14,0,0,2,0,668.3636
LCK,2026-01-14 09:06:16,16.01,2,Pyosik,19,36,0,0,3,0,547.5273
LCK,2026-01-14 09:06:16,16.01,3,Clozer,19,112,0,0,3,0,643.8545
LCK,2026-01-14 09:06:16,16.01,4,deokdam,19,22,0,0,4,0,392.7273
LCK,2026-01-14 09:06:16,16.01,5,Life,19,16,0,0,2,0,179.6727
LCK,2026-01-14 09:06:16,16.01,6,PerfecT,10,58,1,2,0,5,659.7455
LCK,2026-01-14 09:06:16,16.01,7,Cuzz,10,517,1,2,0,11,604.0727
LCK,2026-01-14 09:06:16,16.01,8,Bdd,10,13,1,7,0,4,804.5818
LCK,2026-01-14 09:06:16,16.01,9,Aiming,10,236,1,3,0,6,463.4909
LCK,2026-01-14 09:06:16,16.01,10,Ghost,10,201,1,0,0,10,122.8
LPL,2026-01-14 09:13:04,16.01,1,Soboro,54,897,1,6,0,5,406.6408
LPL,2026-01-14 09:13:04,16.01,2,Wei,54,62,1,4,1,11,404.9354
LPL,2026-01-14 09:13:04,16.01,3,Rookie,54,103,1,8,2,6,684.0568
LPL,2026-01-14 09:13:04,16.01,4,Photic,54,110,1,0,1,14,1030.9561
LPL,2026-01-14 09:13:04,16.01,5,Jwei,54,111,1,0,4,17,223.4625
LPL,2026-01-14 09:13:04,16.01,6,Zika,76,68,0,3,5,0,697.0284
LPL,2026-01-14 09:13:04,16.01,7,Jiejie,76,80,0,1,3,6,410.2067
LPL,2026-01-14 09:13:04,16.01,8,Xiaohu,76,163,0,1,1,3,406.5633
LPL,2026-01-14 09:13:04,16.01,9,Elk,76,804,0,2,3,5,622.7907
LPL,2026-01-14 09:13:04,16.01,10,Erha,76,12,0,1,6,5,112.0672
