team,player,image
"Hanwha Life Esports","Delight","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769089417110_LCK_HLE_Delight_F.PNG"
"Hanwha Life Esports","Zeka","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769089430303_LCK_HLE_Zeka_F.PNG"
"Hanwha Life Esports","Zeus","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769089435131_LCK_HLE_Zeus_F.PNG"
"Hanwha Life Esports","Kanavi","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769089425886_LCK_HLE_Kanavi_F.PNG"
"Hanwha Life Esports","Gumayusi","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769089421483_LCK_HLE_Gumayusi_F.PNG"
"Hanwha Life Esports","Cracker","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086419226_image6-2026-01-22T135315.938.png"
"Hanwha Life Esports","Valiant","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086142550_image6-2026-01-22T134839.572.png"
"Hanwha Life Esports","Bluffing","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086484481_image6-2026-01-22T135420.093.png"
"Hanwha Life Esports","Jackal","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086354742_image6-2026-01-22T135205.457.png"
"Hanwha Life Esports","Pyeonsik","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086215440_image6-2026-01-22T134944.828.png"
"Hanwha Life Esports","Panther","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769086291531_image6-2026-01-22T135105.756.png"
"kt Rolster","Cuzz","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088880566_LCK_KT_Cuzz_F.PNG"
"kt Rolster","Aiming","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088886678_LCK_KT_Aiming_F.PNG"
"kt Rolster","Ghost","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088899654_LCK_KT_Ghost_F.PNG"
"kt Rolster","Pollu","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088909540_LCK_KT_Pollu_F.png"
"kt Rolster","Sylvie","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769085457796_image6-2026-01-22T133710.328.png"
"kt Rolster","Effort","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769085556949_image6-2026-01-22T133848.159.png"
"kt Rolster","Hwichan","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769085699169_image6-2026-01-22T134118.726.png"
"kt Rolster","FenRir","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769085625159_image6-2026-01-22T133959.277.png"
"kt Rolster","Sero","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769085767741_image6-2026-01-22T134220.704.png"
"kt Rolster","PerfecT","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088904650_LCK_KT_PerfecT_F.png"
"kt Rolster","Bdd","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769088894551_LCK_KT_Bdd_F.PNG"
"T1","Jinbeom"," https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2Fdefault-headshot.png"
"T1","Cloud","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769083077918_image6144.png"
"T1","Painter","https://am-a.akamaihd.net/image?resize=750:&f=http%3A%2F%2Fstatic.lolesports.com%2Fplayers%2F1769084021546_image6-2026-01-22T131032.591.png"
