teamid,teamname,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16
1,Samsung White,SSW,,,,,,,,,,,,
2,NaJin White Shield,NJWS,,,,,,,,,,,,
3,Samsung Blue,SSB,,,,,,,,,,,,
4,NaJin e-mFire,,NJF,,,,,,,,,,,
5,SK Telecom T1,,SKT,SKT,SKT,SKT,SKT,,,,,,,
6,ROX Tigers,,GET,ROX,ROX,ROX,,,,,,,,
7,Incredible Miracle,,IM,,,,,,,,,,,
8,Samsung Galaxy,,SSG,SSG,SSG,,,,,,,,,
9,Jin Air Green Wings,,JAG,JAG,JAG,JAG,JAG,,,,,,,
10,KT Rolster,,KT,KT,KT,KT,KT,KT,KT,KT,KT,KT,KT,KT
11,CJ Entus,,CJ,CJ,CJ,,,,,,,,,
12,Winners,,WNS,,,,,,,,,,,
13,Rebels Anarchy,,ANC,,,,,,,,,,,
14,Prime Clan,,PRIME,,,,,,,,,,,
15,Xenics,,XEN,,,,,,,,,,,
16,SBENU Korea,,SSB,SBK,,,,,,,,,,
17,Dark Wolves,,DW,,,,,,,,,,,
18,ESC Ever,,ESC,ESC,,,,,,,,,,
19,DN SOOPers,,,AF,AF,AF,AF,AF,AF,KDF,KDF,KDF,DNF,DNS
20,Longzhu Gaming,,,LZ,LZ,,,,,,,,,
21,Kongdoo Monster,,,KDM,KDM,KDM,,,,,,,,
22,MVP,,,MVP,MVP,MVP,,,,,,,,
23,e-mFire,,,EMF,,,,,,,,,,
24,bbq Olivers,,,,BBQ,BBQ,,,,,,,,
25,Ever8 Winners,,,,EEW,EEW,,,,,,,,
26,Kingzone DragonX,,,,,KZ,KZ,,,,,,,
27,KSV eSports,,,,,KSV,,,,,,,,
28,Griffin,,,,,GRF,GRF,GRF,,,,,,
29,Hanwha Life Esports,,,,,HLE,HLE,HLE,HLE,HLE,HLE,HLE,HLE,HLE
30,Gen.G,,,,,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN,GEN
31,Team BattleComics,,,,,BTC,,,,,,,,
32,Dplus Kia,,,,,DWG,DWG,DWG,DK,DK,DK,DK,DK,DK
33,VSG,,,,,,VSG,,,,,,,
34,ES Sharks,,,,,,ESS,,,,,,,
35,SeolHaeOne Prince,,,,,,APK,APK,,,,,,
36,Team Dynamics,,,,,,DYN,DYN,,,,,,
37,T1,,,,,,,T1,T1,T1,T1,T1,T1,T1
38,DRX,,,,,,,DRX,DRX,DRX,DRX,DRX,DRX,KRX
39,Seorabeol Gaming,,,,,,,SRB,,,,,,
40,HANJIN BRION,,,,,,,,BRO,BRO,BRO,BRO,BRO,BRO
41,Nongshim RedForce,,,,,,,,NS,NS,NS,NS,NS,NS
42,Liiv SANDBOX,,,,,,SB,SB,LSB,LSB,LSB,,,
43,BNK FEARX,,,,,,,,,,,FOX,BFX,BFX
44,Kiwoom DRX,,,,,,,,,,,,,KRX
45,EDward Gaming,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG,EDG
46,Newbee,,,NB,NB,,,,,,,,,
47,Snake Esports,,,SS,SS,SS,SS,,,,,,,
48,Game Talents,,,GT,GT,,,,,,,,,
49,Royal Never Give Up,,,RNG,RNG,RNG,RNG,RNG,RNG,RNG,RNG,RNG,RNG,
50,Team WE,,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE
51,Oh My God,OMG,,OMG,OMG,OMG,OMG,OMG,OMG,OMG,OMG,OMG,OMG,OMG
52,I May,,,IM,IM,,,,,,,,,
53,Saint Gaming,,,SAT,,,,,,,,,,
54,Invictus Gaming,,IG,IG,IG,IG,IG,IG,IG,IG,IG,IG,IG,IG
55,LGD Gaming,,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD,LGD
56,Vici Gaming,,,VG,VG,VG,VG,VG,,,,,,
57,Young Miracles,,,YM,YM,,,,,,,,,
58,Royal Club,SHR,,SHR,,,,,,,,,,
59,QG Reapers,,,,QGR,,,,,,,,,
60,DAN Gaming,,,,DAN,,,,,,,,,
61,JD Gaming,,,,JDG,JDG,JDG,JDG,JDG,JDG,JDG,JDG,JDG,JDG
62,Suning,,,,SN,SN,SN,SN,SN,,,,,
63,Top Esports,,,,,TOP,TES,TES,TES,TES,TES,TES,TES,TES
64,Bilibili Gaming,,,,,BLG,BLG,BLG,BLG,BLG,BLG,BLG,BLG,BLG
65,FunPlus Phoenix,,,,,FPX,FPX,FPX,FPX,FPX,FPX,FPX,FPX,
66,Rogue Warriors,,,,,RW,RW,RW,RW,,,,,
67,SinoDragon Gaming,,,,,,SDG,,,,,,,
68,Victory Five,,,,,,V5,V5,V5,V5,,,,
69,Dominus Esports,,,,,,DMO,DMO,,,,,,
70,LNG Esports,,,,,,LNG,LNG,LNG,LNG,LNG,LNG,LNG,LNG
71,eStar,,,,,,,ES,ES,,,,,
72,ThunderTalk Gaming,,,,,,,,TT,TT,TT,TT,TT,TT
73,Rare Atom,,,,,,,,RA,RA,RA,RA,,
74,Ultra Prime,,,,,,,,UP,UP,UP,UP,UP,UP
75,Anyone's Legend,,,,,,,,,AL,AL,AL,AL,AL
76,Weibo Gaming,,,,,,,,,WBG,WBG,WBG,WBG,WBG
77,Ninjas in Pyjamas,NIP,,,NIP,,,,,,NIP,NIP,NIP,NIP
78,Fnatic,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC,FNC
79,Gambit Gaming,GMB,GMB,,,,,,,,,,,
80,Copenhagen Wolves,CW,CW,CW,,,,,,,,,,
81,Alliance,ALL,,,,,,,,,,,,
82,SK Gaming,SK,SK,,,,SK,SK,SK,SK,SK,SK,SK,SK
83,Millenium,MIL,,MIL,,,,,,,,,,
84,SUPA HOT CREW,SHC,,,,,,,,,,,,
85,Team ROCCAT,ROC,ROC,ROC,ROC,ROC,,,,,,,,
86,Cloud9 Eclipse,C9E,,,,,,,,,,,,
87,Denial eSports.Europe,DNL.EU,,,,,,,,,,,,
88,H2k-Gaming,H2K,H2K,H2K,H2K,H2K,,,,,,,,
89,SK Gaming Prime,SKP,,,,,,,,,,,,
90,Unicorns of Love,UOL,UOL,UOL,UOL,UOL,,,,,,,,
91,Reason Gaming,RG,RG,,,,,,,,,,,
92,Giants Gaming,GIA,GIA,GIA,GIA,GIA,,,,,,,,
93,Ascension,ASCE,,,,,,,,,,,,
94,Tricked Esport,TRC,,,,,,,,,,,,
95,n!faculty,FAC,,,,,,,,,,,,
96,Gamers2,G2,G2,,,,,,,,,,,
97,Team Strix,STRIX,,,,,,,,,,,,
98,ThunderBot SPARTA,TBS,,,,,,,,,,,,
99,Different Dimension,DD,,,,,,,,,,,,
100,Meloncats,MC,,,,,,,,,,,,
101,Cyber Gaming,CG,,,,,,,,,,,,
102,Elements,,EL,EL,,,,,,,,,,
103,MeetYourMakers,,MYM,,,,,,,,,,,
104,Copenhagen Wolves Academy,,CWA,,,,,,,,,,,
105,Origen,,OG,OG,OG,,OG,OG,,,,,,
106,MOUZ NXT,,MOUZ,,,,,,,,,,,
107,G2 Esports,,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2
108,Splyce,,,SPY,SPY,SPY,SPY,,,,,,,
109,Team Vitality,,,VIT,VIT,VIT,VIT,VIT,VIT,VIT,VIT,VIT,VIT,VIT
110,Huma,,,HMA,,,,,,,,,,
111,FC Schalke 04 Esports,,,S04,S04,S04,S04,S04,S04,,,,,
112,Misfits Gaming,,,MSF,MSF,MSF,MSF,MSF,MSF,MSF,,,,
113,Fnatic Academy,,,,FNC.A,,,,,,,,,
114,Misfits Academy,,,,MSF.A,,,,,,,,,
115,Mysterious Monkeys,,,,MM,,,,,,,,,
116,Excel Esports,,,,,,XL,XL,XL,XL,XL,,,
117,Rogue,,,,,,RGE,RGE,RGE,RGE,,RGE,RGE,
118,MAD Lions KOI,,,,,,,MAD,MAD,MAD,MAD,MDK,,
119,Astralis,,,,,,,,AST,AST,AST,,,
120,Team BDS,,,,,,,,,BDS,BDS,BDS,BDS,
121,KOI,,,,,,,,,,KOI,,,
122,Team Heretics,,,,,,,,,,TH,TH,TH,TH
123,Karmine Corp,,,,,,,,,,,KC,KC,KC
124,GiantX,,,,,,,,,,,GX,GX,GX
125,Movistar KOI,,,,,,,,,,,,MKOI,MKOI
126,Natus Vincere,,,,,,,,,,,,NAVI,NAVI
127,Los Ratones,,,,,,,,,,,,,LR
128,Shifters,,,,,,,,,,,,,SHFT
129,Karmine Corp Blue,,,,,,,,,,,,,KCB
130,Cloud9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9
131,TSM,TSM,TSM,TSM,TSM,TSM,TSM,TSM,TSM,TSM,TSM,,,
132,Evil Geniuses,EG,,,,,,EG,EG,EG,EG,,,
133,XDG Gaming,XDG,,,,,,,,,,,,
134,Team Curse,CRS,,,,,,,,,,,,
135,Team Coast,CST,CST,,,,,,,,,,,
136,Counter Logic Gaming,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,,,
137,Dignitas,DIG,DIG,DIG,DIG,,,DIG,DIG,DIG,DIG,DIG,DIG,DIG
138,LMQ,LMQ,,,,,,,,,,,,
139,Cloud9 Tempest,C9T,,,,,,,,,,,,
140,compLexity.Black,CLB,,,,,,,,,,,,
141,compLexity Gaming,COL,,,,,,,,,,,,
142,Curse Academy,CA,,,,,,,,,,,,
143,Team 8,T8,T8,,,,,,,,,,,
144,Call Gaming,CG,,,,,,,,,,,,
145,Zenith Esports,ZEN,,,,,,,,,,,,
146,Final Five,F5,,,,,,,,,,,,
147,compLexity.White,COW,,,,,,,,,,,,
148,Infinity Esports,MKZ,,,,,,,,,,,,
149,Team LoLPro,PRO,,,,,,,,,,,,
150,Fission Esports,FIS,,,,,,,,,,,,
151,Enemy,NME,,,,,,,,,,,,
152,Noble Truth,NTR,,,,,,,,,,,,
153,Team Fusion,FSN,FSN,,,,,,,,,,,
154,Winterfox,,WFX,,,,,,,,,,,
155,Gravity,,GV,,,,,,,,,,,
156,Team Impulse,,TIP,TIP,,,,,,,,,,
157,Team Liquid,,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL,TL
158,Team Dragon Knights,,TDK,TDK,,,,,,,,,,
159,Team Imagine,,IMG,,,,,,,,,,,
160,Immortals,,,IMT,IMT,,,IMT,IMT,IMT,IMT,IMT,,
161,NRG,,,NRG,,,,,,,NRG,NRG,,
162,Renegades,,,REN,,,,,,,,,,
163,Echo Fox,,,FOX,FOX,FOX,FOX,,,,,,,
164,Apex Gaming,,,APX,,,,,,,,,,
165,Team EnVyUs,,,NV,NV,,,,,,,,,
166,Phoenix1,,,P1,P1,,,,,,,,,
167,Team Liquid Academy,,,TL.A,,,,,,,,,,
168,Cloud9 Challenger,,,C9C,,,,,,,,,,
169,FlyQuest,,,,FLY,FLY,FLY,FLY,FLY,FLY,FLY,FLY,FLY,FLY
170,eUnited,,,,EUN,,,,,,,,,
171,Gold Coin United,,,,GCU,,,,,,,,,
172,100 Thieves,,,,,100T,100T,100T,100T,100T,100T,100T,100T,
173,OpTic Gaming,,,,,OPT,OPT,,,,,,,
174,Clutch Gaming,,,,,CG,CG,,,,,,,
175,Golden Guardians,,,,,GG,GG,GG,GG,GG,GG,,,
176,Shopify Rebellion,,,,,,,,,,,SR,SR,SR
177,LOUD,,,,,,,,,LOUD,LOUD,LOUD,LOUD,LOUD
178,paiN Gaming,,PAIN,,,,,,PAIN,,,PAIN,PAIN,PAIN
179,Vivo Keyd Stars,,,,,,,,,,,,VKS,VKS
180,Leviatan,,,,,,,,,,,,LEV,LEV
181,LYON,,,,,,,,,,,,LYON,LYON
182,Isurus Estral,,,,,,,,,,,,IE,
183,FURIA,,,,,,,,,,,,FUR,FUR
184,RED Canids,,,,RED,,,,RED,RED,,,RED,RED
185,Fluxo W7M,,,,,,,,,,,,FX,FX
186,Disguised,,,,,,,,,,,,DSG,DSG
187,Isurus,,,,ISG,,ISG,,,ISG,,,ISG,
188,Flamengo MDL,,,,,,FLA,,,,,,FLA,
189,Sicar Esports,,,,,,,,,,,,SIC,
190,Farenvehn,,,,,,,,,,,,FVN,
191,Alpha7 Esports,,,,,,,,,,,,A7,
192,Estral Esports,,,,,,,,,,,EST,EST,
193,Conviction,,,,,,,,,,,,CNV,
194,SDM Tigres,,,,,,,,,,,,SDM,
